AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
38:17:E1:F5:8F:26,DPC3941B,23 W GIRARD AVE,OFC,Philadelphia,PA,19123,39.96918,-75.135475,Freedom,Fishtown,Secondary,N/A
38:17:E1:F5:FF:10,DPC3941B,19 W GIRARD AVE,FL 1,Philadelphia,PA,19123,39.968906,-75.13516,Freedom,Fishtown,Secondary,N/A
38:17:E1:F6:6E:46,DPC3941B,1523 N FRONT ST,FL 1,Philadelphia,PA,19122,39.973583,-75.13441,Freedom,Fishtown,Secondary,N/A
38:17:E1:F6:61:71,DPC3941B,8 PEDDLERS VLG,SPC 2,Lahaska,PA,18931,40.346786,-75.0331,Freedom,Peddlers Village,Primary,N/A
38:17:E1:F6:72:6A,DPC3941B,1100 SPRUCE ST,RM FTNS,Philadelphia,PA,19107,39.946007,-75.1597,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:F6:C4:81,DPC3941B,736 PINE ST,BSMT,Philadelphia,PA,19106,39.944057,-75.15497,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:F6:F6:63,DPC3941B,8617 GERMANTOWN AVE,FL 1 OFC BUS 2,Philadelphia,PA,19118,40.077114,-75.20764,Freedom,Chestnut Hill,Primary,N/A
38:17:E1:F7:76:88,DPC3941B,19 PEDDLERS VLG,SPC SHP 78,Lahaska,PA,18931,40.347317,-75.032135,Freedom,Peddlers Village,Primary,N/A
38:17:E1:F7:80:B0,DPC3941B,1114 CREASE ST,STE 1 UNIT HBB,Philadelphia,PA,19125,39.96854,-75.13225,Freedom,Fishtown,Secondary,N/A
38:17:E1:F7:AF:27,DPC3941B,68 PEDDLERS VLG,,Lahaska,PA,18931,40.34736,-75.03197,Freedom,Peddlers Village,Primary,N/A
38:17:E1:FB:1C:4D,DPC3941B,821 S 9TH ST,,Philadelphia,PA,19147,39.939213,-75.15757,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:FB:5D:89,DPC3941B,1119 CATHARINE ST,,Philadelphia,PA,19147,39.94042,-75.161446,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:FB:32:41,DPC3941B,212 E GIRARD AVE,OFC,Philadelphia,PA,19125,39.969006,-75.13308,Freedom,Fishtown,Secondary,N/A
38:17:E1:FB:40:01,DPC3941B,86 BETHLEHEM PIKE,FL 2,Philadelphia,PA,19118,40.080215,-75.20763,Freedom,Chestnut Hill,Secondary,N/A
38:17:E1:FB:47:4A,DPC3941B,614 S 7TH ST,,Philadelphia,PA,19147,39.941734,-75.15427,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:FB:62:93,DPC3941B,8617 GERMANTOWN AVE,FL 1ST,Philadelphia,PA,19118,40.077114,-75.20764,Freedom,Chestnut Hill,Primary,N/A
38:17:E1:FB:BE:E1,DPC3941B,1137 PINE ST,RM METER,Philadelphia,PA,19107,39.945286,-75.160934,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:FF:12:85,DPC3941B,1001 SOUTH ST,OFC 2,Philadelphia,PA,19147,39.943108,-75.15936,Freedom,South St Zone 1,Primary,N/A
48:1D:70:1D:88:F2,DPC3939B,1000 SPRUCE ST,,Philadelphia,PA,19107,39.945885,-75.1581,Freedom,South St Zone 1,Secondary,N/A
48:1D:70:6C:2B:56,DPC3941B,161 PEDDLERS VLG RD,,Lahaska,PA,18931,40.34772,-75.03154,Freedom,Peddlers Village,Primary,N/A
48:1D:70:6C:10:30,DPC3941B,1002 SOUTH ST,,Philadelphia,PA,19147,39.94285,-75.15906,Freedom,South St Zone 1,Primary,N/A
48:1D:70:6D:27:F9,DPC3941B,1000 FRANKFORD AVE,STE 101,Philadelphia,PA,19125,39.96563,-75.13502,Freedom,Fishtown,Secondary,N/A
